Hospital,Year,Births,Deaths,Death-to-Birth Ratio,Note
Vienna General Hospital,1784,284,6,2.1,No pathological anatomy
Vienna General Hospital,1785,899,13,1.4,
Vienna General Hospital,1786,1151,5,0.4,
Vienna General Hospital,1787,1407,5,0.4,
Vienna General Hospital,1788,1425,5,0.4,
Vienna General Hospital,1789,1246,7,0.6,
Vienna General Hospital,1790,1326,10,0.8,
Vienna General Hospital,1791,1395,8,0.6,
Vienna General Hospital,1792,1579,14,0.9,
Vienna General Hospital,1793,1684,44,2.6,
Vienna General Hospital,1794,1768,7,0.4,
Vienna General Hospital,1795,1798,38,2.1,
Vienna General Hospital,1796,1904,22,1.2,
Vienna General Hospital,1797,2012,5,0.2,
Vienna General Hospital,1798,2046,5,0.2,
Vienna General Hospital,1799,2067,20,1,
Vienna General Hospital,1800,2070,41,2,
Vienna General Hospital,1801,2106,17,0.8,
Vienna General Hospital,1802,2346,9,0.4,
Vienna General Hospital,1803,2215,16,0.7,
Vienna General Hospital,1804,2022,8,0.4,
Vienna General Hospital,1805,2112,9,0.4,
Vienna General Hospital,1806,1875,13,0.7,
Vienna General Hospital,1807,925,6,0.6,
Vienna General Hospital,1808,855,7,0.8,
Vienna General Hospital,1809,912,13,1.4,
Vienna General Hospital,1810,744,6,0.8,
Vienna General Hospital,1811,1050,20,1.9,
Vienna General Hospital,1812,1419,9,0.6,
Vienna General Hospital,1813,1945,21,1.1,
Vienna General Hospital,1814,2062,66,3.2,
Vienna General Hospital,1815,2591,19,0.7,
Vienna General Hospital,1816,2410,12,0.5,
Vienna General Hospital,1817,2735,25,0.9,
Vienna General Hospital,1818,2568,56,2.2,
Vienna General Hospital,1819,3089,154,5,
Vienna General Hospital,1820,2998,75,2.5,
Vienna General Hospital,1821,3294,55,1.7,
Vienna General Hospital,1822,3066,26,0.8,
Vienna General Hospital,1823,2872,214,7.5,Pathological anatomy begins
Vienna General Hospital,1824,2911,144,4.9,
Vienna General Hospital,1825,2594,229,8.8,
Vienna General Hospital,1826,2359,192,8.1,
Vienna General Hospital,1827,2367,51,2.2,
Vienna General Hospital,1828,2833,101,3.6,
Vienna General Hospital,1829,3012,140,4.6,
Vienna General Hospital,1830,2797,111,4,
Vienna General Hospital,1831,3353,222,6.6,
Vienna General Hospital,1832,3331,105,3.2,
Vienna General Hospital,1833,3737,197,5.3,
Vienna General Hospital,1834,2657,205,7.7,
Vienna General Hospital,1835,2573,143,5.6,
Vienna General Hospital,1836,2677,200,7.5,
Vienna General Hospital,1837,2765,251,9.1,
Vienna General Hospital,1838,2987,91,3,
Vienna General Hospital,1839,2781,151,5.4,
Vienna General Hospital,1840,2889,267,9.2,
Vienna General Hospital,1841,3036,237,7.8,Separation of clinics
Vienna General Hospital,1842,3287,518,15.8,hereafter numbers refer to first clinic only
Vienna General Hospital,1843,3060,274,9,
Vienna General Hospital,1844,3157,260,8.2,
Vienna General Hospital,1845,3492,241,6.9,
Vienna General Hospital,1846,4010,459,11.4,
Vienna General Hospital,1847,3490,176,5,Chlorine washings begin mid-May
Vienna General Hospital,1848,3556,45,1.3,
