Stage,Value,Resistance
Initial,1,5045
Initial,2,4350
Initial,3,4350
Initial,4,3975
Initial,5,4290
Initial,6,4430
Initial,7,4485
Initial,8,4285
Initial,9,3980
Initial,10,3925
Initial,11,3645
Initial,12,3760
Initial,13,3300
Initial,14,3685
Initial,15,3463
Initial,16,5200
Initial,17,5100
Initial,18,4635
Initial,19,5100
Initial,20,5450
Initial,21,4635
Initial,22,4720
Initial,23,4810
Initial,24,4565
Initial,25,4410
Initial,26,4065
Initial,27,4565
Initial,28,5190
Initial,29,4725
Initial,30,4640
Initial,31,4640
Initial,32,4895
Initial,33,4790
Initial,34,4845
Initial,35,4700
Initial,36,4600
Initial,37,4110
Initial,38,4410
Initial,39,4180
Initial,40,4790
Initial,41,4790
Initial,42,4340
Initial,43,4895
Initial,44,5750
Initial,45,4740
Initial,46,5000
Initial,47,4895
Initial,48,4255
Initial,49,4170
Initial,50,3850
Initial,51,4445
Initial,52,4650
Initial,53,4170
Initial,54,4255
Initial,55,4170
Initial,56,4375
Initial,57,4175
Initial,58,4550
Initial,59,4450
Initial,60,2855
Initial,61,2920
Initial,62,4375
Initial,63,4375
Initial,64,4355
Initial,65,4090
Initial,66,5000
Initial,67,4335
Initial,68,5000
Initial,69,4640
Initial,70,4335
Initial,71,5000
Initial,72,4615
Initial,73,4215
Initial,74,4275
Initial,75,4275
Initial,76,5000
Initial,77,4615
Initial,78,4735
Initial,79,4215
Initial,80,4700
Initial,81,4700
Initial,82,4700
Initial,83,4700
Initial,84,4095
Initial,85,4095
Initial,86,3940
Initial,87,3700
Initial,88,3650
Initial,89,4445
Initial,90,4000
Initial,91,4845
Initial,92,5000
Initial,93,4560
Initial,94,4700
Initial,95,4310
Initial,96,4310
Initial,97,5000
Initial,98,4575
Initial,99,4700
Initial,100,4430
Initial,101,4850
Initial,102,4850
Initial,103,4570
Initial,104,4570
Initial,105,4855
Initial,106,4160
Initial,107,4325
Initial,108,4125
Initial,109,4100
Initial,110,4340
Initial,111,4575
Initial,112,3875
Initial,113,4050
Initial,114,4050
Initial,115,4685
Initial,116,4685
Initial,117,4430
Initial,118,4300
Initial,119,4690
Initial,120,4560
Initial,121,3075
Initial,122,2965
Initial,123,4080
Initial,124,4080
Initial,125,4425
Initial,126,4300
Initial,127,4430
Initial,128,4840
Initial,129,4840
Initial,130,4310
Initial,131,4185
Initial,132,4570
Initial,133,4700
Initial,134,4440
Initial,135,4850
Initial,136,4125
Initial,137,4450
Initial,138,4450
Initial,139,4850
Initial,140,4450
Initial,141,3635
Initial,142,3635
Initial,143,3635
Initial,144,3900
Initial,145,4340
Initial,146,4340
Initial,147,3665
Initial,148,3775
Initial,149,5000
Initial,150,4850
Initial,151,4775
Initial,152,4500
Initial,153,4770
Initial,154,4500
Initial,155,4770
Initial,156,5150
Initial,157,4850
Initial,158,4700
Initial,159,5000
Initial,160,5000
Initial,161,5000
Initial,162,4700
Initial,163,4500
Initial,164,4840
Initial,165,5075
Initial,166,5000
Initial,167,4770
Initial,168,4570
Initial,169,4925
Initial,170,4775
Initial,171,5075
Initial,172,4925
Initial,173,5075
Initial,174,4925
Initial,175,5250
Initial,176,4915
Initial,177,5600
Initial,178,5075
Initial,179,4450
Initial,180,4215
Initial,181,4325
Initial,182,4665
Initial,183,4615
Initial,184,4615
Initial,185,4500
Initial,186,4765
Initial,187,4500
Initial,188,4500
Initial,189,4850
Initial,190,4930
Initial,191,4700
Initial,192,4890
Initial,193,4625
Initial,194,4425
Initial,195,4135
Initial,196,4190
Initial,197,4080
Initial,198,3690
Initial,199,5050
Initial,200,4625
Initial,201,5150
Initial,202,5250
Initial,203,5000
Initial,204,5000
Additional,1,4400
Additional,2,4565
Additional,3,4495
Additional,4,4325
Additional,5,4385
Additional,6,4545
Additional,7,4235
Additional,8,4370
Additional,9,4340
Additional,10,4500
Additional,11,4165
Additional,12,4000
Additional,13,4125
Additional,14,4445
Additional,15,4775
Additional,16,4615
Additional,17,4465
Additional,18,4375
Additional,19,4600
Additional,20,4260
Additional,21,4675
Additional,22,4800
Additional,23,4410
Additional,24,4675
Additional,25,4260
Additional,26,4000
Additional,27,4360
Additional,28,4500
Additional,29,4460
Additional,30,4360
Additional,31,4265
Additional,32,4635
Additional,33,4240
Additional,34,4350
Additional,35,4220
Additional,36,4150
Additional,37,4520
Additional,38,4545
Additional,39,4650
Additional,40,4230
Additional,41,4320
Additional,42,4570
Additional,43,4380
Additional,44,4450
Additional,45,4340
Additional,46,4350
Additional,47,4600
Additional,48,4220
Additional,49,4310
Additional,50,4250
Additional,51,4315
Additional,52,4380
Additional,53,4490
Additional,54,4240
Additional,55,4350
Additional,56,4320
Additional,57,4475
Additional,58,4725
Additional,59,4540
Additional,60,4565
Additional,61,4210
Additional,62,4540
Additional,63,4600
Additional,64,4850
