MonthYear,Year,Month,Births,Deaths
January 1841,1841,January,254,37
February 1841,1841,February,239,18
March 1841,1841,March,277,12
April 1841,1841,April,255,4
May 1841,1841,May,255,2
June 1841,1841,June,200,10
July 1841,1841,July,190,16
August 1841,1841,August,222,3
September 1841,1841,September,213,4
October 1841,1841,October,236,26
November 1841,1841,November,235,53
December 1841,1841,December,,
January 1842,1842,January,307,64
February 1842,1842,February,311,38
March 1842,1842,March,264,27
April 1842,1842,April,242,26
May 1842,1842,May,310,10
June 1842,1842,June,273,18
July 1842,1842,July,231,48
August 1842,1842,August,216,55
September 1842,1842,September,223,41
October 1842,1842,October,242,71
November 1842,1842,November,209,48
December 1842,1842,December,239,75
January 1843,1843,January,272,52
February 1843,1843,February,263,42
Mar 1843,1843,March,266,33
April 1843,1843,April,285,34
May 1843,1843,May,246,15
June 1843,1843,June,196,8
July 1843,1843,July,191,1
August 1843,1843,August,193,3
September 1843,1843,September,221,5
October 1843,1843,October,250,44
November 1843,1843,November,252,18
December 1843,1843,December,236,19
January 1844,1844,January,244,37
February 1844,1844,February,257,29
March 1844,1844,March,276,47
April 1844,1844,April,208,36
May 1844,1844,May,240,14
June 1844,1844,June,224,6
July 1844,1844,July,206,9
August 1844,1844,August,269,17
September 1844,1844,September,245,3
October 1844,1844,October,248,8
November 1844,1844,November,245,27
December 1844,1844,December,256,27
January 1845,1845,January,303,23
February 1845,1845,February,274,13
March 1845,1845,March,292,13
April 1845,1845,April,260,11
May 1845,1845,May,296,13
June 1845,1845,June,280,20
July 1845,1845,July,245,15
August 1845,1845,August,251,9
September 1845,1845,September,237,25
October 1845,1845,October,283,42
November 1845,1845,November,265,29
December 1845,1845,December,267,28
January 1846,1846,January,336,45
February 1846,1846,February,293,53
March 1846,1846,March,311,48
April 1846,1846,April,253,48
May 1846,1846,May,305,41
June 1846,1846,June,266,27
July 1846,1846,July,252,33
August 1846,1846,August,216,39
September 1846,1846,September,271,39
October 1846,1846,October,254,38
November 1846,1846,November,297,32
December 1846,1846,December,298,16
January 1847,1847,January,311,10
February 1847,1847,February,312,6
March 1847,1847,March,305,11
April 1847,1847,April,312,57
May 1847,1847,May,294,36
June 1847,1847,June,268,6
July 1847,1847,July,250,3
August 1847,1847,August,264,5
September 1847,1847,September,262,12
October 1847,1847,October,278,11
November 1847,1847,November,246,11
December 1847,1847,December,273,8
January 1848,1848,January,283,10
February 1848,1848,February,291,2
March 1848,1848,March,276,0
April 1848,1848,April,305,2
May 1848,1848,May,313,3
June 1848,1848,June,264,3
July 1848,1848,July,269,1
August 1848,1848,August,261,0
September 1848,1848,September,312,3
October 1848,1848,October,299,7
November 1848,1848,November,310,9
December 1848,1848,December,373,5
January 1849,1849,January,403,9
February 1849,1849,February,389,12
March 1849,1849,March,406,20
