part_number,x_actual,y_actual
1,218.97,136.99
2,219,137.01
3,218.95,136.98
4,218.99,137
5,219.05,137.01
6,218.99,136.96
7,218.99,136.96
8,219,137
9,219.01,136.95
10,219.01,136.95
11,218.99,136.97
12,218.98,136.98
13,219,137.04
14,218.99,137.01
15,219.02,137.02
16,218.96,136.95
17,218.97,137.01
18,218.98,136.96
19,219.03,136.98
20,219.05,136.96
21,219.07,136.92
22,219.08,136.98
23,218.94,137.01
24,219.02,136.98
25,218.98,137
26,219.02,136.96
27,218.95,136.93
28,219.02,136.92
29,219.03,136.96
30,219.03,136.95
31,219.03,136.99
32,219.01,136.92
33,219.02,136.95
34,218.99,137.05
35,218.99,137.01
36,219.08,136.94
37,218.98,136.92
38,218.99,136.98
39,219.03,136.98
40,219.02,136.98
41,219.02,136.91
42,219,137.01
43,218.93,137.01
44,219.05,136.94
45,219.01,136.94
46,219.04,136.9
47,218.98,136.99
48,219.01,136.98
49,219.04,136.96
50,219.03,136.99
51,219.05,137
52,219.01,137.03
53,219.06,136.96
54,219.04,136.96
55,219.08,137
56,219.08,137.02
57,218.99,137.04
58,218.99,136.97
59,219.03,136.98
60,218.91,136.98
61,218.96,137.01
62,219.01,136.96
63,219.01,137
64,218.96,137.02
65,219.05,136.95
66,218.97,137
67,219,137
68,218.96,137.04
69,218.98,136.99
70,219.01,137.01
71,219,137.05
72,218.99,136.97
73,219.05,137
74,218.97,136.96
75,219.09,136.82
76,218.96,137.08
77,219.01,137.06
78,219.02,136.91
79,218.98,137.02
80,218.96,136.96
81,218.96,136.95
82,219,136.97
83,218.99,136.97
84,219,136.97
85,219.04,136.95
86,219,136.99
87,218.96,136.99
88,219,137.02
89,218.95,137.03
90,219.04,137.01
91,218.93,137.04
92,218.98,136.97
93,218.97,136.99
94,218.95,137.05
95,218.99,137.01
96,218.99,136.99
97,218.98,136.97
98,218.99,136.98
99,219.01,137.02
100,219.01,137.03
101,219.02,137.02
102,219.04,136.96
103,218.93,136.96
104,218.9,136.99
105,218.97,136.97
106,218.88,137.06
107,218.96,136.97
108,218.92,136.96
109,218.96,136.99
110,218.96,136.96
111,218.93,137.04
112,219.05,136.93
113,218.98,136.93
114,218.99,137.02
115,218.98,137.01
116,218.92,136.99
117,218.96,136.94
118,218.96,137.06
119,218.92,136.96
120,218.98,136.99
121,218.97,137.01
122,218.96,137
123,219,137.04
124,218.92,137
125,219,137
126,218.97,137.02
127,218.97,137.01
128,219.01,136.99
129,219.06,137.02
130,219,137
131,219.01,137.03
132,219.03,136.99
133,218.98,136.98
134,218.95,136.97
135,218.89,137.01
136,218.93,136.98
137,218.98,136.93
138,218.89,137
139,218.91,136.92
140,218.88,136.98
141,218.94,137.02
142,218.96,136.96
143,218.98,136.96
144,218.99,137.01
145,218.96,136.98
146,218.87,136.96
147,218.91,136.99
148,218.91,136.97
149,218.98,136.95
150,218.91,136.99
151,218.96,136.97
152,218.97,136.9
153,218.91,136.95
154,218.85,137
155,218.93,136.97
156,218.98,136.98
157,218.88,136.94
158,218.85,136.97
159,218.93,136.92
160,218.84,136.97
161,218.92,136.94
162,219,137
163,218.93,136.91
164,218.97,136.93
165,218.97,136.93
166,218.95,136.93
167,218.96,137.01
168,219.04,137.02
169,219.04,137.02
170,219,137.01
171,219.05,137.06
172,219.02,137.02
173,219.08,137.04
174,219.01,137.07
175,219.03,137.05
176,219,137.05
177,219.06,137.06
178,218.95,137.01
179,219.06,137.02
180,219.05,137.01
181,219,137.04
182,219.02,137.05
183,219.05,137.06
184,218.99,137.01
185,219.03,137.02
186,219,137.08
187,219,137.06
188,219.02,137.04
189,219.03,137.07
190,219.03,137.05
191,218.99,137.06
192,219.05,137.05
193,218.98,137.04
194,219.05,137.04
195,219.11,137.07
196,218.98,137.02
197,219.04,137.01
198,219.05,137
199,219.05,137.01
200,219.08,137.08
